id,title,subtitle,authors,publisher,published_date,category,distribution_expense
9789390000000,DATA SCIENCE,,"Dr.Venkataramana Sarella, Mr. Sandeep Srivastava, Dr.K.Jamberi, Dr.Syed Khasim",GCS PUBLISHERS,1/5/22,data science,4.55
9781840000000,Machine Learning for Algorithmic Trading,Predictive models to extract signals from market and alternative data for systematic trading strategies with Python,Stefan Jansen,Packt Publishing Ltd,31/7/20,data science,5.6
3030433862,Data Science and Productivity Analytics,,"Vincent Charles, Juan Aparicio, Joe Zhu",Springer,23/5/21,data science,4.22
9781480000000,Practical Data Science,A Guide to Building the Technology Stack for Turning Data Lakes into Business Assets,Andreas François Vermeulen,Apress,21/2/18,data science,3.19
9781790000000,Introduction to Biomedical Data Science,,"Robert Hoyt, Robert Muenchen",Lulu.com,25/11/19,data science,6.9
9780310000000,Roundtable on Data Science Postsecondary Education,A Compilation of Meeting Highlights,"National Academies of Sciences, Engineering, and Medicine, Division of Behavioral and Social Sciences and Education, Division on Engineering and Physical Sciences, Board on Science Education",National Academies Press,2/10/20,data science,7.3
9789390000000,Data Science Fundamentals and Practical Approaches,,"Nandi Dr. Rupam Dr. Gypsy, Kumar Sharma",BPB Publications,3/9/20,data science,4.55
9789390000000,Data Science for Business Professionals,A Practical Guide for Beginners (English Edition),Probyto Data Science and Consulting Pvt. Ltd.,BPB Publications,6/5/20,data science,5.6
9783320000000,Data Science and Digital Business,,"Fausto Pedro García Márquez, Benjamin Lev",Springer,4/1/19,data science,4.22
9781490000000,Data Science from Scratch,First Principles with Python,Joel Grus,O'Reilly Media,12/4/19,data science,3.19
9783110000000,Data Science for Supply Chain Forecasting,,Nicolas Vandeput,Walter de Gruyter GmbH & Co KG,22/3/21,data science,6.9
9781460000000,Applied Spatial Data Analysis with R,,"Roger S. Bivand, Edzer Pebesma, Virgilio Gómez-Rubio",Springer Science & Business Media,21/6/13,data science,7.3
9781350000000,Data Science and Analytics with Python,,Jesus Rogel-Salazar,CRC Press,5/2/18,data science,4.55
9781120000000,Smarter Data Science,Succeeding with Enterprise-Grade Data and AI Projects,"Neal Fishman, Cole Stryker",John Wiley & Sons,3/6/20,data science,5.6
9789390000000,Data Science with Machine Learning,,Narayanan Vishwanathan,BPB Publications,20/9/19,data science,4.55
